Rank,Release Group,Worldwide,Domestic,%,Foreign,%
95,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
96,Kaamelott: First Installment,"$21,941,166","$188,000",0.9%,"$21,753,166",99.1%
97,After We Fell,"$21,782,642","$2,170,750",10%,"$19,611,892",90%
98,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
99,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
100,Stillwater,"$19,671,288","$14,465,535",73.5%,"$5,205,753",26.5%
101,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
102,The Green Knight,"$18,873,029","$17,173,321",91%,"$1,699,708",9%
103,Sinkhole,"$18,755,224",-,-,"$18,755,224",100%
104,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
105,Dear Evan Hansen,"$18,612,393","$15,002,646",80.6%,"$3,609,747",19.4%
106,Antlers,"$18,316,949","$10,617,134",58%,"$7,699,815",42%
107,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
108,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
109,West Side Story,"$17,413,164","$12,892,715",74%,"$4,520,449",26%
110,The Dry,"$17,392,594","$364,237",2.1%,"$17,028,357",97.9%
111,Gintama: The Final,"$17,244,651",-,-,"$17,244,651",100%
112,Railway Heroes,"$17,222,703",-,-,"$17,222,703",100%
113,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
114,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
115,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
116,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
117,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
118,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
119,Cry Macho,"$14,280,333","$10,280,333",72%,"$4,000,000",28%
120,Anita,"$14,201,323","$535,596",3.8%,"$13,665,727",96.2%
121,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
122,Spencer,"$14,026,070","$7,018,508",50%,"$7,007,562",50%
123,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
124,Sword Art Online: Progressive - Aria of a Starless Night,"$13,455,510","$1,050,000",7.8%,"$12,405,510",92.2%
125,"And, the Baton Was Passed","$13,437,937",-,-,"$13,437,937",100%
126,OSS 117: From Africa with Love,"$13,307,437",-,-,"$13,307,437",100%
127,Hostage: Missing Celebrity,"$13,094,131",-,-,"$13,094,131",100%
128,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
129,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
130,Eiffel,"$12,961,375",-,-,"$12,961,375",100%
131,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
132,The Many Saints of Newark,"$12,720,603","$8,220,603",64.6%,"$4,500,000",35.4%
133,Character,"$12,571,501",-,-,"$12,571,501",100%
134,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
135,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
136,On the Line,"$11,772,156",-,-,"$11,772,156",100%
137,The Wolf and the Lion,"$11,559,480",-,-,"$11,559,480",100%
138,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
139,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
140,School of Magical Animals,"$10,835,539",-,-,"$10,835,539",100%
141,Aline,"$10,476,231","$505,928",4.8%,"$9,970,303",95.2%
142,Krack,"$10,442,916",-,-,"$10,442,916",100%
143,The Bodin's in the Land of Smile,"$10,427,923",-,-,"$10,427,923",100%
144,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
145,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
146,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
147,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
148,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
149,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$9,861,131",-,-,"$9,861,131",100%
150,¡A todo tren! Destino Asturias,"$9,607,212",-,-,"$9,607,212",100%
151,The Soul,"$9,600,000",-,-,"$9,600,000",100%
152,Talk to Her Undated France Release,"$9,548,738",-,-,"$9,548,738",100%
153,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
154,Black Box,"$9,476,517",-,-,"$9,476,517",100%
155,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,036,987",-,-,"$9,036,987",100%
156,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
157,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
158,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
159,Parallel Mothers,"$8,773,431",-,-,"$8,773,431",100%
160,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
161,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
